freq,length,fragment
1,4,night + NN:HD*night + NP:ADJ*NN:HD + NP:SBJ*NP:HD*NP:ADJ + S*NP:SBJ*VBZ:HD*AP:COMP_1
1,10,NN:HD*ex-wife + NP:SBJ*NP:SPR*NN:HD + S.1*NP:SBJ*VBZ:HD*VP:COMP + is + VBZ:HD*is + S.2*NP:SBJ*VBZ:HD*VP:COMP + going + VBG*going + V-PRP:HD*VBG + VP:COMP.1*V-PRP:HD*VP:COMP + to
1,10,AP:COMP*JJ:HD + VP:COMP.2*VB:HD*AP:COMP*PP:ADJ + with + IN:HD*with + PP:ADJ.1*IN:HD*NP:COMP + you + PP:HD*you + NP:COMP*PP:HD + PP:ADJ*IN:HD*NP:COMP + VP:COMP*VB:HD*AP:COMP*PP:ADJ + attach
1,4,"and + CC*and + CNJ*CC + S.1*CNJ*UH:PAR*,:PAR*S + well"
1,4,NP.2*DTP:SPR*AP:ADJ*NN:HD + flight + NN:HD*flight + NP*DTP:SPR*AP:ADJ*NN:HD + attach
1,4,always + RB:HD*always + ADVP:ADJ*RB:HD + S.3*NP:SBJ*MD:HD*ADVP:ADJ*VP:COMP + grab
1,15,well + UH*well + TOP.1*UH*NP*S + that + DT*that + PR-DM:HD*DT + NP*PR-DM:HD + TOP.2*UH*NP*S + that + DT*that + PR-DM:HD*DT + NP:SBJ*PR-DM:HD + S.1*NP:SBJ*VBZ:HD*AP:COMP + is + VBZ:HD*is + attach
1,5,VB:HD*reschedule + VP:COMP*VB:HD + VP:ADJ*TO:HD*VP:COMP + AP:COMP*DGP:SPR*JJ:HD*VP:ADJ + VP:COMP*VB:HD*AP:COMP + attach
1,6,or + CC*or + CNJ*CC + NP.1*CNJ*NP + two + CD*two + CNUM:HD*CD_1
1,8,S.2*ADVP:FLQ*VBP:HD*NP:SBJ*VP:COMP + you + PP:HD*you + NP:SBJ*PP:HD + S.3*ADVP:FLQ*VBP:HD*NP:SBJ*VP:COMP + have + VB:HD*have + VP:COMP*VB:HD + attach
1,7,it + PP:HD*it + NP:SBJ*PP:HD + S.1*NP:SBJ*VBD:HD*AP:COMP + was + VBD:HD*was + S.2*NP:SBJ*VBD:HD*AP:COMP + pretty
1,4,VP:COMP*V-PRP:HD*ADVP:ADJ + PP:COMP*IN:HD*VP:COMP + VP:COMP*VB:HD*PP:COMP + VP:COMP*TO:HD*VP:COMP + attach
1,13,in + IN:HD*in + PP:ADJ.1*IN:HD*NP:COMP + the + DT*the + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP:COMP.1*DTP:SPR*NN:HD + evening + NN:HD*evening + NP:COMP*DTP:SPR*NN:HD + PP:ADJ*IN:HD*NP:COMP + NP*CNUM:HD*PP:ADJ + attach
1,10,good + UH*good + TOP.1*UH*S + I + PP:HD*I + NP:SBJ*PP:HD + S.1*NP:SBJ*MD:HD*VP:COMP + will + MD:HD*will + S.2*NP:SBJ*MD:HD*VP:COMP + meet
1,4,CNUM:HD.3*CD*CD*CD*CD + seven + CD*seven + CNUM:HD*CD*CD*CD*CD + NP*CNUM:HD_1
1,6,yeah + UH*yeah + TOP.1*UH*NP + Wednesday + NP:HD*Wednesday + NP.1*NP:HD*NP:ADJ + morning
1,6,had + VBD:HD*had + S:COMP.2*NP:SBJ*VBD:HD*VP:COMP + said + VBN:HD*said + VP:COMP.1*VBN:HD*NP:COMP + Monday
1,12,you + PP:HD*you + NP:SBJ*PP:HD + S.1*NP:SBJ*VBP:HD*NP:COMP + have + VBP:HD*have + S.2*NP:SBJ*VBP:HD*NP:COMP + a + DT*a + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP:COMP.1*DTP:SPR*AP:ADJ*NN:HD + good
1,5,the + DT*the + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP:SBJ.1*DTP:SPR*NN:HD*PP:COMP + rest
1,16,and + CC*and + CNJ*CC + S.1*CNJ*S + there + EX:HD*there + NP:SBJ*EX:HD + S.1*NP:SBJ*VBZ:HD*NP:COMP + is + VBZ:HD*is + S.2*NP:SBJ*VBZ:HD*NP:COMP + a + DT*a + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP:COMP.1*DTP:SPR*N:HD + time
1,10,I + PP:HD*I + NP:SBJ*PP:HD + S.1*NP:SBJ*VBP:HD*NP:COMP + have + VBP:HD*have + S.2*NP:SBJ*VBP:HD*NP:COMP + nothing + NN:HD*nothing + NP:COMP*NN:HD + attach
1,4,NP:COMP.3*DTP:SPR*AP:ADJ*AP:ADJ*NNS:HD + days + NNS:HD*days + NP:COMP*DTP:SPR*AP:ADJ*AP:ADJ*NNS:HD + attach
1,5,PP:ADJ.1*IN:HD*NP:COMP + noon + NN:HD*noon + NP:COMP*NN:HD + PP:ADJ*IN:HD*NP:COMP + attach
1,9,back + RB:HD*back + ADVP:COMP*RB:HD + VP:COMP.2*VB:HD*ADVP:COMP*NP:ADJ + the + DT*the + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP:ADJ.1*DTP:SPR*ONUM:HD + third
1,4,PP.2*RB:ADJ*IN:HD*NP:COMP + me + PP:HD*me + NP:COMP*PP:HD + attach
1,7,our + PP$:HD*our + NP:SPR*PP$:HD + NP:COMP.1*NP:SPR*NN:HD*ADVP:ADJ + trip + NN:HD*trip + NP:COMP.2*NP:SPR*NN:HD*ADVP:ADJ + here
1,7,oh + UH*oh + TOP.1*UH*S + I + PP:HD*I + NP:SBJ*PP:HD + S.1*NP:SBJ*ADVP:ADJ*VBD:HD*PP:ADJ + almost
1,9,S.3*NP:SBJ*VBD:HD*DTP:PAR*NP:COMP + the + DT*the + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP:COMP.1*DTP:SPR*NP + Zentral + NP*Zentral + NP:COMP*DTP:SPR*NP + attach
1,5,a + DT*a + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP.2*ADVP:ADJ*DTP:SPR*N:HD + dentist
1,4,ten + CD*ten + CNUM:HD*CD + NP:ADJ.1*CNUM:HD*PP:ADJ + at
1,5,these + DT*these + DT-DM:HD*DT + DTP:SPR*DT-DM:HD + NP:COMP.1*DTP:SPR*NNS:HD + days
1,8,NP.1*ADVP:ADJ*CNUM:HD*RB:ADJ*PP:ADJ*ADVP:ADJ + eight + CD*eight + CNUM:HD*CD + NP.2*ADVP:ADJ*CNUM:HD*RB:ADJ*PP:ADJ*ADVP:ADJ + o'clock + RB:ADJ*o'clock + NP.3*ADVP:ADJ*CNUM:HD*RB:ADJ*PP:ADJ*ADVP:ADJ + in
1,9,a + DT*a + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP:COMP.1*DTP:SPR*AP:ADJ*NN:HD + long + JJ:HD*long + AP:ADJ*JJ:HD + NP:COMP.2*DTP:SPR*AP:ADJ*NN:HD + day
1,12,I + PP:HD*I + NP:SBJ*PP:HD + S.1*NP:SBJ*VBP:HD*NP:COMP*AP:ADJ + have + VBP:HD*have + S.2*NP:SBJ*VBP:HD*NP:COMP*AP:ADJ + that + DT*that + PR-DM:HD*DT + NP:COMP*PR-DM:HD + S.3*NP:SBJ*VBP:HD*NP:COMP*AP:ADJ + free
1,8,TOP.2*UH*NP*S + I + PP:HD*I + NP:SBJ*PP:HD + S.1*NP:SBJ*VBP:HD*VP:COMP + am + VBP:HD*am + S.2*NP:SBJ*VBP:HD*VP:COMP + looking
1,12,"S.2*CNJ*,:PAR*S + let + VBP:HD*let + S.1*VBP:HD*NP:COMP*VP:COMP + us + PP:HD*us + NP:COMP*PP:HD + S.2*VBP:HD*NP:COMP*VP:COMP + see + VB:HD*see + VP:COMP*VB:HD + S*VBP:HD*NP:COMP*VP:COMP + attach"
1,4,S.2*ADVP:ADJ*NP:SBJ*VBP:HD*ADVP:COMP + are + VBP:HD*are + S.3*ADVP:ADJ*NP:SBJ*VBP:HD*ADVP:COMP + out
1,4,NP:COMP.1*ONUM:HD*PP:ADJ + to + IN:HD*to + PP:ADJ.1*IN:HD*NP:COMP + ninth
1,4,PP.1*IN:HD*NP:COMP + Friday + NP:HD*Friday + NP:COMP*NP:HD + attach
1,11,PP:ADJ.1*IN:HD*NP:COMP + a + DT*a + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP:COMP.1*DTP:SPR*NP:HD + Monday + NP:HD*Monday + NP:COMP*DTP:SPR*NP:HD + PP:ADJ*IN:HD*NP:COMP + VP:COMP*VB:HD*PP:ADJ + attach
1,4,S.1*VBP:HD*NP:COMP + nine + CD*nine + CNUM:HD*CD + NP:COMP*CNUM:HD*RB:ADJ_1
1,11,so + RB:HD*so + ADVP:ADJ*RB:HD + S.1*ADVP:ADJ*NP:SBJ*VBP:HD*DTP*VP:COMP + we + PP:HD*we + NP:SBJ*PP:HD + S.2*ADVP:ADJ*NP:SBJ*VBP:HD*DTP*VP:COMP + are + VBP:HD*are + S.3*ADVP:ADJ*NP:SBJ*VBP:HD*DTP*VP:COMP + all
1,4,"so + RB:HD*so + ADVP:ADJ*RB:HD + S.1*ADVP:ADJ*NP:ADJ*,:PAR*ADVP:FLQ*VBP:HD*NP:SBJ*VP:COMP + Jonathan"
1,7,"actually + RB:HD*actually + ADVP:ADJ*RB:HD + S.1*ADVP:ADJ*,:PAR*NP:SBJ*VBZ:HD*AP:COMP + , + ,:PAR*, + S.2*ADVP:ADJ*,:PAR*NP:SBJ*VBZ:HD*AP:COMP + the"
1,4,other + JJ:HD*other + AP:ADJ*JJ:HD + NP.3*RB:ADJ*AP:ADJ*AP:ADJ*NN:HD*PP:COMP + time
1,9,or + CC*or + CNJ*CC + NP.1*CNJ*NP + the + DT*the + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP.1*DTP:SPR*ONUM:HD + thirtieth
1,13,NP:COMP.1*DTP:SPR*NN:HD*PP:ADJ + week + NN:HD*week + NP:COMP.2*DTP:SPR*NN:HD*PP:ADJ + after + IN:HD*after + PP:ADJ.1*IN:HD*NP:COMP + that + DT*that + PR-DM:HD*DT + NP:COMP*PR-DM:HD + PP:ADJ*IN:HD*NP:COMP + NP:COMP*DTP:SPR*NN:HD*PP:ADJ + attach
1,10,I + PP:HD*I + NP:SBJ*PP:HD + S.1*NP:SBJ*VBP:HD*RB:ADJ*ADVP:ADJ*ADVP:COMP*PP:ADJ + am + VBP:HD*am + S.2*NP:SBJ*VBP:HD*RB:ADJ*ADVP:ADJ*ADVP:COMP*PP:ADJ + not + RB:ADJ*not + S.3*NP:SBJ*VBP:HD*RB:ADJ*ADVP:ADJ*ADVP:COMP*PP:ADJ + much
1,8,twenty + CD*twenty + ONUM:HD.1*CD*JJ + first + JJ*first + ONUM:HD*CD*JJ + NP:COMP*ONUM:HD + PP:ADJ*IN:HD*NP:COMP + attach
1,7,S*VBP:HD*ADVP:ADJ + S*CNJ*S + TOP.1*S*S + I + PP:HD*I + NP:SBJ*PP:HD + S.1*NP:SBJ*VBP:HD*AP:COMP + am
1,7,a + DT*a + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP.1*DTP:SPR*NN:HD*ADVP:ADJ + day + NN:HD*day + attach
1,10,the + DT*the + DT-ART:HD*DT + DTP*DT-ART:HD + TOP.1*DTP*NP + the + DT*the + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP.1*DTP:SPR*NP + Benz
1,4,we + PP:HD*we + NP*PP:HD + TOP.1*NP*S + isn't
1,7,we + PP:HD*we + NP:SBJ*PP:HD + S.1*NP:SBJ*MD:HD*VP:COMP + could + MD:HD*could + S.2*NP:SBJ*MD:HD*VP:COMP + split
1,8,noon + NN:HD*noon + NP*NN:HD + NP:COMP.1*NP*CNJ*NP + or + CC*or + CNJ*CC + NP:COMP.2*NP*CNJ*NP + four
1,14,"that + DT*that + PR-DM:HD*DT + NP:SBJ*PR-DM:HD + S.1*NP:SBJ*MD:HD*VP:COMP + would + MD:HD*would + S.2*NP:SBJ*MD:HD*VP:COMP + be + VB:HD*be + VP:COMP.1*VB:HD*AP:COMP*PP:ADJ*,:PAR*ADVP:ADJ + great + JJ:HD*great + AP:COMP*JJ:HD + attach"
1,7,"NP.2*ADVP:ADJ*,:PAR*CNUM:HD + nine + CD*nine + CNUM:HD.1*CD*CD + thirty + CD*thirty + CNUM:HD*CD*CD + attach"
1,9,AP:COMP*JJ:HD + S.5*ADVP:ADJ*CMP-WH:MRK*NP:SBJ*VBZ:HD*AP:COMP*PP:ADJ + for + IN:HD*for + PP:ADJ.1*IN:HD*NP:COMP + you + PP:HD*you + NP:COMP*PP:HD + PP:ADJ*IN:HD*NP:COMP + attach
1,12,"NP.1*NP:HD*,:PAR*NP:COMP + , + ,:PAR*, + NP.2*NP:HD*,:PAR*NP:COMP + May + NP:HD*May + NP:COMP.1*NP:HD*NP:COMP + sixth + JJ*sixth + ONUM:HD*JJ + NP:COMP*ONUM:HD + NP:COMP*NP:HD*NP:COMP + attach"
1,4,definitely + RB:HD*definitely + ADVP*RB:HD + TOP.1*ADVP*UH + yeah
1,8,of + IN:HD*of + PP:COMP.1*IN:HD*NP:COMP + a + DT*a + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP:COMP.1*DTP:SPR*NN:HD + deal
1,9,"that + DT*that + PR-DM:HD*DT + NP:SBJ*PR-DM:HD + S.1*NP:SBJ*VBZ:HD*ADVP:PAR*,:PAR*AP:COMP + is + VBZ:HD*is + S.2*NP:SBJ*VBZ:HD*ADVP:PAR*,:PAR*AP:COMP + very + RB:HD*very_1"
1,11,"PP.1*IN:HD*,:PAR*NP:COMP + , + ,:PAR*, + PP.2*IN:HD*,:PAR*NP:COMP + my + PP$:HD*my + NP:SPR*PP$:HD + NP:COMP.1*NP:SPR*NN:HD + office + NN:HD*office + NP:COMP*NP:SPR*NN:HD + attach"
1,9,what + WP*what + SUGG.1*WP*RB*NP:COMP + about + RB*about + SUGG.2*WP*RB*NP:COMP + Tuesday + NP:HD*Tuesday + NP:COMP.1*NP:HD*NP:ADJ + morning
1,6,first + JJ:HD*first + AP:ADJ*JJ:HD + NP:COMP.2*DTP:SPR*AP:ADJ*NN:HD + week + NN:HD*week + attach
1,7,you + PP:HD*you + NP:SBJ*PP:HD + S.3*NP:FLQ*VBD:HD*NP:SBJ*VP:COMP + going + VBG*going + V-PRP:HD*VBG + VP:COMP*V-PRP:HD*VP:COMP_1
1,4,VBZ:HD*works + S.4*ADVP:ADJ*NP:SBJ*DTP*VBZ:HD*RP + out + RP*out + attach
1,8,twenty + CD*twenty + ONUM:HD.1*CD*JJ + third + JJ*third + ONUM:HD*CD*JJ + NP*ONUM:HD + TOP.1*NP*NP + two
1,8,TOP.1*S*S*S + is + VBZ:HD*is + S.1*VBZ:HD*NP:SBJ + that + DT*that + PR-DM:HD*DT + NP:SBJ*PR-DM:HD + attach
1,9,NP:SBJ.2*DTP:SPR*NN:HD*PP:COMP + of + IN:HD*of + PP:COMP.1*IN:HD*NP:COMP + the + DT*the + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP:COMP.1*DTP:SPR*ONUM:HD + sixteenth
1,8,"two + CD*two + CNUM:HD*CD + NP:COMP.1*CNUM:HD*RB:ADJ + o'clock + RB:ADJ*o'clock + NP:COMP*CNUM:HD*RB:ADJ + PP:COMP*IN:HD*,:PAR*NP:COMP + attach"
1,7,one + CD*one + CNUM:HD*CD + NP:COMP.1*CNUM:HD*NN:ADJ + $P-$M + NN:ADJ*$P-$M + NP:COMP*CNUM:HD*NN:ADJ + attach
1,16,START.1 + it + PP:HD*it + NP:SBJ*PP:HD + S.1*NP:SBJ*VBZ:HD*NP:COMP + is + VBZ:HD*is + S.2*NP:SBJ*VBZ:HD*NP:COMP + a + DT*a + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP:COMP.1*DTP:SPR*NN:HD + deal + NN:HD*deal + NP:COMP*DTP:SPR*NN:HD + attach
1,13,"today + NN:HD*today + NP:SBJ*NN:HD + S.1*NP:SBJ*VBZ:HD*NP:COMP + is + VBZ:HD*is + S.2*NP:SBJ*VBZ:HD*NP:COMP + Wednesday + NP:HD*Wednesday + NP:COMP.1*NP:HD*,:PAR*NP:COMP + , + ,:PAR*, + NP:COMP.2*NP:HD*,:PAR*NP:COMP + January"
1,5,o'clock + RB:ADJ*o'clock + NP:COMP*DTP:SPR*CNUM:HD*RB:ADJ + S*NP:SBJ*VBZ:HD*NP:COMP + TOP.1*S*S + let
1,11,yeah + UH*yeah + TOP.1*UH*NP + the + DT*the + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP.1*DTP:SPR*ONUM:HD + twenty + CD*twenty + ONUM:HD.1*CD*JJ + ninth
1,4,my + PP$:HD*my + NP:SPR*PP$:HD + NP.1*NP:SPR*NN:HD + god
1,14,alright + UH*alright + TOP.1*UH*S + that + DT*that + PR-DM:HD*DT + NP:SBJ*PR-DM:HD + S.1*NP:SBJ*VBZ:HD*AP:COMP + sounds + VBZ:HD*sounds + S.2*NP:SBJ*VBZ:HD*AP:COMP + good + JJ:HD*good + AP:COMP*JJ:HD + attach
1,4,VP:COMP.2*VB:HD*NP:COMP*PP:ADJ + at + IN:HD*at + PP:ADJ.1*IN:HD*NP:COMP + all
1,8,it + PP:HD*it + NP:SBJ*PP:HD + S.1*NP:SBJ*VBZ:HD + is + VBZ:HD*is + S*NP:SBJ*VBZ:HD + TOP.1*S*UH + yeah
1,7,"and + CC*and + CNJ*CC + NP.1*CNJ*,:PAR*NP + , + ,:PAR*, + NP.2*CNJ*,:PAR*NP + Tuesday"
1,4,just + RB:HD*just + ADVP:ADJ*RB:HD + S:COMP.3*NP:SBJ*MD:HD*ADVP:ADJ*VP:COMP + do
1,5,this + DT*this + DT-DM:HD*DT + DTP:SPR*DT-DM:HD + NP:COMP.1*DTP:SPR*NN:HD*NP:ADJ + hotel
1,4,it + PP:HD*it + NP:SBJ*PP:HD + S.1*NP:SBJ*ADVP:ADJ*VBZ:HD*NP:COMP + still
1,12,S.3*ADVP:FLQ*MD:HD*NP:SBJ*VP:COMP + look + VB:HD*look + VP:COMP.1*VB:HD*PP:ADJ + for + IN:HD*for + PP:ADJ.1*IN:HD*NP:COMP + you + PP:HD*you + NP:COMP*PP:HD + PP:ADJ*IN:HD*NP:COMP + VP:COMP*VB:HD*PP:ADJ + attach
1,4,castle + NN:HD*castle + NP:COMP*DTP:SPR*NN:HD + PP:COMP*IN:HD*NP:COMP + attach
1,4,N:HD.1*NP*NN:HD + meeting + NN:HD*meeting + N:HD*NP*NN:HD + NP*N:HD*PP:ADJ_1
1,17,a + DT*a + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP:COMP.1*DTP:SPR*N:HD + twelve + CD:HD*twelve + AP:ADJ*CD:HD + NP.1*AP:ADJ*NN:HD + hour + NN:HD*hour + NP*AP:ADJ*NN:HD + N:HD.1*NP*NN:HD + flight + NN:HD*flight + N:HD*NP*NN:HD + NP:COMP*DTP:SPR*N:HD + attach
1,7,four + CD*four + CNUM:HD*CD + NP.1*CNUM:HD*RB:ADJ + o'clock + RB:ADJ*o'clock + NP*CNUM:HD*RB:ADJ + NP*NP*CNJ*NP_1
1,11,VB:HD*rent + VP:COMP.1*VB:HD*NP:COMP + a + DT*a + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP:COMP.1*DTP:SPR*NN:HD + car + NN:HD*car + NP:COMP*DTP:SPR*NN:HD + VP:COMP*VB:HD*NP:COMP + attach
1,6,I + PP:HD*I + NP*PP:HD + TOP.1*NP*UH*UH + oh + UH*oh + attach
1,10,how + WRB*how + PR-WH:HD*WRB + ADVP:FLQ*PR-WH:HD + S.1*ADVP:FLQ*VBP:HD*NP:SBJ*PP:ADJ + are + VBP:HD*are + S.2*ADVP:FLQ*VBP:HD*NP:SBJ*PP:ADJ + those + DT*those + PR-DM:HD*DT_1
1,7,double + NN:HD*double + NP:SBJ*DTP:SPR*NN:HD + S.1*NP:SBJ*VBZ:HD*NP:COMP + is + VBZ:HD*is + S.2*NP:SBJ*VBZ:HD*NP:COMP + one
1,6,six + CD*six + CNUM:HD*CD + NP.1*CNUM:HD*NN:ADJ + $P-$M + NN:ADJ*$P-$M + attach
1,12,I + PP:HD*I + NP:SBJ*PP:HD + S.1*NP:SBJ*VBP:HD*NP:COMP + have + VBP:HD*have + S.2*NP:SBJ*VBP:HD*NP:COMP + the + DT*the + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP:COMP.1*DTP:SPR*NP*NP:ADJ + Schlosshotel
1,11,it + PP:HD*it + NP:SBJ*PP:HD + S.1*NP:SBJ*VBZ:HD*ADVP:ADJ*NP:COMP + is + VBZ:HD*is + S.2*NP:SBJ*VBZ:HD*ADVP:ADJ*NP:COMP + only + RB:HD*only + ADVP:ADJ*RB:HD + S.3*NP:SBJ*VBZ:HD*ADVP:ADJ*NP:COMP + my
1,8,Monday + NP:HD*Monday + NP:COMP.1*NP:HD*NP:COMP + the + DT*the + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP:COMP.1*DTP:SPR*ONUM:HD + seventh
1,4,NP:COMP.1*AP:ADJ*NN:HD + math + NN:HD*math + NP:COMP*AP:ADJ*NN:HD + attach
1,7,do + VBP:HD*do + S.1*VBP:HD*NP:SBJ*ADVP:ADJ*VP:COMP + you + PP:HD*you + NP:SBJ*PP:HD + S.2*VBP:HD*NP:SBJ*ADVP:ADJ*VP:COMP + already
1,11,twenty + CD*twenty + ONUM:HD.1*CD*JJ + seventh + JJ*seventh + ONUM:HD*CD*JJ + NP:SBJ*ONUM:HD + S.1*NP:SBJ*VBZ:HD*NP:COMP + is + VBZ:HD*is + S.2*NP:SBJ*VBZ:HD*NP:COMP + my
1,12,"so + RB:HD*so + ADVP:ADJ*RB:HD + S.1*ADVP:ADJ*,:PAR*ADVP:FLQ*VBP:HD*NP:SBJ*AP:COMP + , + ,:PAR*, + S.2*ADVP:ADJ*,:PAR*ADVP:FLQ*VBP:HD*NP:SBJ*AP:COMP + when + WRB*when + PR-WH:HD*WRB + ADVP:FLQ*PR-WH:HD + S.3*ADVP:ADJ*,:PAR*ADVP:FLQ*VBP:HD*NP:SBJ*AP:COMP + are"
1,7,can + MD:HD*can + S.3*ADVP:ADJ*ADVP:FLQ*MD:HD*NP:SBJ*VP:COMP + we + PP:HD*we + NP:SBJ*PP:HD + S.4*ADVP:ADJ*ADVP:FLQ*MD:HD*NP:SBJ*VP:COMP + come
1,13,ah + UH*ah + TOP.1*UH*SUGG + how + WRB*how + SUGG.1*WRB*RB*NP:COMP + about + RB*about + SUGG.2*WRB*RB*NP:COMP + two + CD*two + CNUM:HD*CD + NP:COMP.1*CNUM:HD*NN:ADJ + $P-$M
1,14,CNUM:HD*CD*CD + NP.1*CNUM:HD*PP:ADJ + in + IN:HD*in + PP:ADJ.1*IN:HD*NP:COMP + the + DT*the + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP:COMP.1*DTP:SPR*NN:HD + morning + NN:HD*morning + NP:COMP*DTP:SPR*NN:HD + PP:ADJ*IN:HD*NP:COMP + attach
1,15,I + PP:HD*I + NP:SBJ*PP:HD + S.1*NP:SBJ*VBP:HD*NP:COMP*ADVP:ADJ + have + VBP:HD*have + S.2*NP:SBJ*VBP:HD*NP:COMP*ADVP:ADJ + some + DT*some + DT-QNT:HD*DT + DTP:SPR*DT-QNT:HD + NP:COMP.1*DTP:SPR*N:HD + hotel + NN*hotel + N:HD.1*NN*NNS:HD + listings
1,9,the + DT*the + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP:COMP.1*DTP:SPR*AP:ADJ*NN:HD + wrong + JJ:HD*wrong + AP:ADJ*JJ:HD + NP:COMP.2*DTP:SPR*AP:ADJ*NN:HD + scene
1,9,", + ,:PAR*, + NP.2*AP:ADJ*,:PAR*NN:HD*PP:COMP + week + NN:HD*week + NP.3*AP:ADJ*,:PAR*NN:HD*PP:COMP + of + IN:HD*of + PP:COMP.1*IN:HD*,:PAR*NP:COMP + ,"
1,7,START.1 + excuse + VBP:HD*excuse + S.1*VBP:HD*NP:COMP + me + PP:HD*me + NP:COMP*PP:HD + attach
1,4,"NP.3*DTP:SPR*,:PAR*ONUM:HD*PP:COMP + of + IN:HD*of + PP:COMP.1*IN:HD*NP:COMP + November"
1,15,ADVP*RBR:HD + ADVP:ADJ*ADVP*CNJ*ADVP + S.3*NP:SBJ*VBZ:HD*ADVP:ADJ*VP:COMP + shot + VBN*shot + V-PSS:HD*VBN + VP:COMP.1*V-PSS:HD*PP:ADJ + for + IN:HD*for + PP:ADJ.1*IN:HD*NP:COMP + me + PP:HD*me + NP:COMP*PP:HD + PP:ADJ*IN:HD*NP:COMP + VP:COMP*V-PSS:HD*PP:ADJ + attach
1,8,and + CC*and + CNJ*CC + S.1*CNJ*S + the + DT*the + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP:ADJ*DTP:SPR*ONUM:HD_1
1,6,return + NN*return + N:HD.1*NN*NN:HD + flight + NN:HD*flight + N:HD*NN*NN:HD + attach
1,8,NP.1*NP*CNJ*NP + or + CC*or + CNJ*CC + NP.2*NP*CNJ*NP + five + CD*five + CNUM:HD*CD + NP*CNUM:HD*RB:ADJ_1
1,5,S:ADJ.1*MD:HD*NP:SBJ + it + PP:HD*it + NP:SBJ*PP:HD + S:ADJ*MD:HD*NP:SBJ + attach
1,10,it + PP:HD*it + NP:SBJ*PP:HD + S.1*NP:SBJ*VBZ:HD*NP:COMP + is + VBZ:HD*is + S.2*NP:SBJ*VBZ:HD*NP:COMP + only + RB:HD*only + ADVP:ADJ*RB:HD + AP:ADJ*ADVP:ADJ*CD:HD_1
1,5,PP.1*IN:HD*NP:COMP + five + CD*five + CNUM:HD*CD + NP:COMP*CNUM:HD + attach
1,6,S:COMP.2*NP:SBJ*VBP:HD*VP:COMP + done + VBN*done + V-PSS:HD*VBN + VP:COMP*V-PSS:HD + S:COMP*NP:SBJ*VBP:HD*VP:COMP + attach
1,4,coming + VBG*coming + V-PRP:HD*VBG + VP:COMP.1*V-PRP:HD*ADVP:ADJ + as
1,12,"how + WRB*how + SUGG.1*WRB*RB*,:PAR*UH:PAR*NP:COMP + about + RB*about + SUGG.2*WRB*RB*,:PAR*UH:PAR*NP:COMP + , + ,:PAR*, + SUGG.3*WRB*RB*,:PAR*UH:PAR*NP:COMP + ""ahm + UH:PAR*""ahm + SUGG.4*WRB*RB*,:PAR*UH:PAR*NP:COMP + ten"
1,5,DGP:SPR*DG:HD + AP:ADJ.1*DGP:SPR*JJ:HD + free + JJ:HD*free + AP:ADJ*DGP:SPR*JJ:HD + attach
1,18,I + PP:HD*I + NP:SBJ*PP:HD + S.1*NP:SBJ*VBP:HD*NP:COMP*ADVP:ADJ + have + VBP:HD*have + S.2*NP:SBJ*VBP:HD*NP:COMP*ADVP:ADJ + a + DT*a + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP:COMP.1*DTP:SPR*NN:HD*PP:COMP + list + NN:HD*list + NP:COMP.2*DTP:SPR*NN:HD*PP:COMP + of + IN:HD*of + PP:COMP.1*IN:HD*NP:COMP + some
1,9,or + CC*or + CNJ*CC + NP.1*CNJ*NP + the + DT*the + DT-ART:HD*DT + DTP:SPR*DT-ART:HD + NP.1*DTP:SPR*ONUM:HD*PP:ADJ + eleventh
1,4,morning + NN:HD*morning + NP:ADJ*NN:HD + NP:SBJ*NP:HD*NP:ADJ + attach
1,5,S:COMP.3*AP:FLQ*NP:SBJ*MD:HD*VP:COMP + be + VB:HD*be + VP:COMP*VB:HD + S:COMP*AP:FLQ*NP:SBJ*MD:HD*VP:COMP + attach
1,6,first + JJ*first + ONUM:HD*JJ + NP:COMP*ONUM:HD + NP:COMP*NP:HD*NP:COMP + PP*IN:HD*NP:COMP + TOP*PP*ADVP_1
